VU_SM_ID,ROVI_SM_ID
132909,1561837
135247,1549972
257155,674114
211732,1107525
282058,1472743
263365,676534
1090454,1872851
540803,253570
134416,423471
211458,623971721
135405,11730078
195227,286362
97899,96631
133969,925531
9553,863606
129220,17537987
129288,1424739
129400,997158950
129458,2124203
129473,1836145
129520,2001738
129551,426095
129702,451212
129801,1378307
129843,469459
129953,1833819
130008,931231
129791,423850
130238,431068
130573,1855730
130622,1962200
130646,274312
130701,292123
130877,279809
132422,2170297
132898,2169560
133027,1835027
133088,17489293
133103,2168798
133119,2168651
133156,761310
133192,327940
133241,423684
133786,1835054
133866,1104787
703098,869345
135063,427903
135216,1673581
135214,2001241
135379,496709
135586,423675
135836,423420
135885,1294494
136062,345653
136083,462197
136247,1529726
136080,1709816
136215,168299
84837,49483
137637,508610
138085,429900
136245,2040605
138577,1424733
138615,129718
138662,427527
138678,1418328
138707,425417
138806,1562775
138838,423453
138853,423970
136240,423469
138884,11925873
91211,73180
139334,16883916
139583,1680642
139704,2103448
139754,484244
139763,1550306
140177,344335
140179,2078992
139729,1999104
142544,608889
174431,8196887
174473,8743137
182185,16888511
182264,1309421
182397,2173167
182455,13892823
182503,1836155
182530,2165623
182605,471861
182720,16885228
182843,2334107
182504,1835235
183044,8969186
183097,17503250
183224,424454
183590,2357228
183681,2334086
183748,2490711
183938,1552033
183976,2490832
189093,2366223
189727,16602091
190476,9952498
190566,2435701
190789,8202313
190878,17495228
191026,2484112
191515,18166039
192142,12166297
192196,18181222
192224,8565976
192460,321144
192819,1226144
192949,17892128
192991,2444634
193045,2490723
193071,8084961
193125,2314067
193451,2406698
193505,2467393
195781,17616400
196116,17971344
196153,11906493
196497,18828854
198007,13968726
198056,2480348
198111,2498864
198169,12453865
198437,1785402
198945,14031120
198952,432465
198946,2001298
199593,11847821
199654,17594852
199868,2224158
199936,2376417
199993,800392
200086,16901959
200540,1673513
201262,434398
201386,2295377
201624,2138418
202664,21719080
201856,13520723
202923,2120790
203112,14778569
203325,7905513
203539,417523
204162,17965390
204191,18998828
204200,2122334
204401,2329560
204727,17824680
204780,9715695
204837,1949526
204892,13742906
205419,10330519
205714,18950241
205785,2478513
206148,14225399
206363,19994976
206475,17525478
206510,17553536
206567,11908182
207855,2497425
207921,2266576
207950,19690471
207417,1308590
208033,18084164
208078,13305659
208111,18950272
208146,2369243
208301,8432609
208471,198782
209711,899215
210295,2334636
210391,593877
210595,423600
210675,423691
210736,865770
210782,454429
211039,2334119
211184,4321
211229,486936
211289,1878857
211492,229675
211557,425355
211861,1845884
211948,19955053
212310,129491
212342,129499
212766,1989997
212932,2083825
212961,19734026
213006,2013788
213091,2001264
213159,18815183
213561,1438700
213562,334142
7361,727975
213941,1327996
214129,1808332
214133,379645
214324,12067901
214485,20204020
213484,2484036
215758,412432
215973,2282600
216009,18785859
216193,18933836
216307,2010690
216463,17891288
216476,375166
216603,10399495
216687,13306749
217036,2350601
217114,13883004
217588,2069953
217780,2152878
217825,942596
218142,13963024
218293,17094610
218410,18858831
218598,424776
218963,1103586
219194,2169486
219991,2048135
220043,398424
220348,423607
220533,1553325
220972,18084026
221009,18821191
221737,1987080
221731,1394388
221931,2154617
222044,19105208
222062,1474189
222172,2040884
222169,18084016
222606,10385920
222617,19729647
223112,194715
223271,2489758
223298,411706
223340,1221271
223550,9485030
223663,212526
223756,13970530
224062,11860445
224082,1103250
224301,2084488
224347,13356102
224549,2001734
135865,864432
224684,18796684
224777,2481922
224926,423547
224992,1720082
225485,18848163
225539,12954572
225689,2469184
225725,2466200
225919,18848164
225986,423416
226455,14129496
226480,363510
226600,9987823
226749,19109320
227196,16942942
227336,2104237
227421,429121
228130,19732829
228159,11876757
228184,19696166
228205,17983367
228222,18916161
228450,1418323
537562,766647428
228823,18815516
138845,228247
229068,18135438
304867,18915170
229186,1479953
229197,18846680
229281,18797532
229388,22193054
229453,18797366
229816,19067012
229831,19103959
229997,18821096
230036,1609178
230349,13610633
230534,2486435
230949,1724540
231299,18810803
231458,18765804
231591,12416270
231670,2430871
231679,19104860
231708,19796950
231733,13801268
231835,17944016
231880,17999699
231889,19284552
231911,1700379
231941,2300286
232103,2105279
232278,19704743
