Rovi iD,GB ID
22023391,14749
4742394374,37718
1020105542,20933
1121828172,32178
871019,7096
881938,13642
480675,13689
17892128,613
469459,66
2334107,68
747218,13620
1739620,2445
1790203,159
18830383,166
18830442,165
2444634,1587
1672492,446
18829943,171
431050,173
2490723,1627
11947579,1695
917607,1707
506534,1720
426596,1725
1785402,205
2001298,206
412432,208
423675,1737
1833819,314
1103250,307
2001264,311
481387,1738
424456,1747
2329560,493
720561,1760
224883,1772
1104787,1778
446998,1782
2166931,310
2001310,1800
2167248,316
196495,1808
14034105,1881
2484036,201
12966115,1919
2103448,968
1835232,954
16892661,965
1438306,956
1835235,962
13305894,960
1673497,957
18040876,952
99775,1937
19113969,948
306786,1939
674114,994
167973,1948
1167670131,1949
253656,1950
2490563,959
379645,1958
223245,1969
224070,1970
596961,2002
129576,2039
2491249,971
17596655,971
19759378,2072
2230657,2074
321144,2084
1836155,57
1772812,67
19034491,63
16885228,59
13833539,60
2406698,366
2314067,368
13895742,371
13895738,372
997158950,2098
471861,2103
1836145,369
1106509,2111
129380,2112
1308634,2117
429900,2139
421657,2146
801296,2165
13892760,61
19234633,2168
284739,121
2177941,2220
1438700,2268
426286,2305
2490832,137
2170297,135
18846680,141
1835027,134
1561837,133
18815516,140
18815398,139
2333214,136
2491273,2329
2341335,385
18785636,390
9952498,384
726224840,16879
2231762,2468
17982749,2488
427152,6988
2165623,293
2478513,296
899215,2501
8240941,295
2120790,2553
3424702909,2600
2040884,2621
16888511,2622
18933945,2625
2154617,2626
14729213,2627
1609178,2629
13977514,2630
17495228,2632
2300286,2633
1863968,2634
1483774,2635
19729647,2638
2105279,2639
1987080,2643
1781169,2644
13610633,2658
2295377,2662
16882730,2664
12400185,2779
280906,10984
17616400,504
2195190,2932
2458275,2937
2444536,2948
18881277,2976
1880905,2977
19016957,505
14031120,498
67120373,2993
19955398,5903
1709816,5053
2105382,565
129162,5073
2498864,555
1053597501,21690
408466,1115
14773782,6959
1941630,6961
19958649,7197
19881032,7369
2247513,6963
8202313,7399
2337372,6965
2357228,617
12124014,6968
18982134,7391
16883916,5744
344456,7395
1855730,612
464847,6969
2430807,6971
2052128,6973
815073,6979
8257507,6981
14595823,614
1213625,6984
826394,1253
1316567,6985
1288712,4690
2151719,5067
9650028,6079
2482608,7000
18011414,7002
1853033,7003
9155646,5763
8969186,616
8969188,618
1632441,7008
18851501,621
9155614,622
794441,7015
1667909,6085
2151741,7017
2336802,7021
213546,7024
975128413,7025
11782302,7039
1967774,7043
319627,7056
253570,7058
2207248,7069
16886597,7076
403310,7081
18175463,7097
13356181,7116
811383,7119
9980308,7120
222560,7122
2446617,7129
1406911,7135
17717132,9331
18142219,9090
8979855,8454
2173167,8521
2242870,8523
18045939,8528
2488023,9421
1408028,9423
1687117,9424
19893665,8605
18001985,803
2366146,9266
16860733,804
2184344,9281
1886884,9291
1877213,9318
340684,10017
425163,332
18815354,967
18906934,10293
21718205,149
1332222,146
17118213,10319
17119555,10322
9709672,10416
2215255,10422
11982324,10434
1907279,10435
19955807,10468
406170,10500
9715695,10509
11962690,10515
19273426,10576
643601,10587
17016589,10715
563474124,10716
14418348,10724
19650936,10739
4764752917,11003
522107,11037
18815807,11193
425185,11358
19955053,11373
862691,11380
19210556,10317
1857896,6977
11892787,11420
18933991,10316
18892122,349
22543623,11562
18907020,11575
20038165,11590
22312600,11593
539957838,11620
556692165,11646
2450270,11672
67236056,11673
543825332,11690
22479903,11719
19680393,11828
556694020,11826
18915170,12463
18867637,12461
556692899,12491
66043970,12653
563307357,12764
67204864,12783
1346390,12850
556694021,12834
21575498,12858
18785960,13423
66330236,12880
13995424,12887
2291925,12897
556694277,12908
21751992,12907
556694220,12905
556694253,12902
1762662,12937
19218168,12982
66856195,12993
4803542443,13017
556694301,13092
556694444,13091
333627154,13133
17132096,13145
2177886,129
1204909,13186
542476032,13306
2280339,13314
781263,13328
12595521,13337
2432647,13316
309200564,13381
17654958,13387
18916161,10354
14778569,13424
1285653,13446
14718332,116
1932402,13479
442354,13511
859916902,13540
2496641,13541
17118012,13544
2201727,13548
1269054167,13560
1110834,13562
2057172,13563
2392900,13588
18152606,13589
67119585,13629
2340318,13646
2369243,13685
286362,13686
2224158,13705
556694697,13729
66763107,13015
3979921110,41688
21522264,13778
333627055,13825
1497374173,13829
2398110,13829
299309012,13834
556694581,13870
425684,10330
2366147,10728
16789113,11156
22275045,13675
18771605,13142
22437093,13929
19061887,13366
425669,13623
66763139,13936
66731373,14002
1062638605,14036
8376778,14282
1941804,14069
18178925,13137
21942685,14141
66911096,13889
1062663461,4787
556694755,14436
299933827,13821
2364263,128
1335651342,10347
22287919,12393
361418782,14461
66763168,13994
18884755,14550
556695322,14562
3462891322,14597
556695496,14597
21761027,14633
320275536,14652
1658620,14657
289933020,13877
364020075,14679
334718093,14754
342460992,14750
19643707,14747
279614,14977
383180761,15044
5108052809,14746
17118192,14746
66492528,14802
365263,15110
833276386,14675
661507039,15175
67173718,15126
128182,15193
2061207,10505
15094222,15211
659162208,15250
67023562,15262
447977907,15274
359499385,15235
272368,15313
327498328,15285
581633412,15335
322981450,14818
306982194,15376
371357783,15207
4658673445,15402
674390652,15402
16795062,15417
1256804,15423
537237533,15461
307000865,15475
658933633,15558
67347483,15559
21580609,15564
2285877,125
470026707,15563
657735238,15585
12109884,15617
518760977,15631
217185,15691
333925890,15709
545350771,15667
22520950,15769
571818029,15754
563552392,15713
434151567,15706
583106571,15845
506526183,15893
1315015131,15917
634349011,15806
1699911090,15969
373826930,15985
386465737,15984
22377249,15795
335034162,15998
457397312,16021
67129987,16087
19047397,16080
367621787,16063
11803690,16068
1681035,16157
708002598,16177
506272190,15696
331837486,16195
942931038,16207
66272447,16200
11933600,16237
545359971,16250
545199175,15801
545271034,16154
545277544,16292
661554177,16246
503292084,16320
945674413,16370
324969080,16512
313425501,16513
332381006,16533
304358168,16603
14693376,16620
673096,16482
545392195,15818
545386550,15820
919906586,15799
921082967,16793
22515389,16822
819105225,16854
1105787661,16173
722503276,16381
22378177,16870
940378796,16877
686433687,16921
66164898,16930
668926962,16886
1487956505,16998
421119,17144
21718205,18951
896191331,17215
830987723,17257
812761973,17273
998217876,17319
853376810,17315
585193620,17330
784095641,17221
306981668,17302
1817918,17102
721672768,17205
661123654,17331
12040367,17342
386562423,15880
1093724630,17391
630930640,17394
545383125,15819
560772269,17430
545241842,17441
1681028251,17451
679951018,17448
982813379,15673
708574459,17507
992267106,17502
66441197,17511
19262246,17534
689522875,17528
1234483969,17509
781675275,17531
806576751,17530
895807211,17748
993444536,15817
308459700,17991
700812471,18229
4741680631,18230
386149818,18031
19926338,18328
1055546552,18399
893648370,18321
1061293947,18432
895705225,18507
930178107,18477
880922326,18508
586882462,18584
1001100618,18588
1175349875,18607
902469503,18382
945831667,18669
500774877,15720
863835602,18715
1279939080,18750
364976,10508
813736320,18734
930203258,18775
331864353,16387
427871,18383
9955688,18836
885289534,18833
840112435,18845
447987379,18792
21719372,18961
512463271,16233
1002006301,18885
889300119,18887
1011892384,18948
545386475,19255
594025734,19281
9424375,19296
560561848,19310
545160526,18447
335291315,16763
476136169,14783
219794,19068
18233985,7098
67417314,15736
115191,17374
924742471,18985
22320252,19321
1035828782,19536
662401258,19542
546733009,18893
1145923157,14869
22502078,20146
1005722363,20145
21751388,20144
66121059,20143
322946895,20142
1028993700,20255
918723577,20287
1087074236,19537
873425479,20625
1334069900,20874
1147344042,20352
1123352864,20617
1316886556,21506
5449094895,21507
604180948,21605
939969754,19698
1024560147,18998
1046915435,18739
21512120,14787
1140631464,20685
1046914029,19647
66492462,21732
951700899,18707
18819496,10349
961678690,20702
709491414,21769
1144006062,21960
1398132278,22017
1059899283,20928
1055532722,18760
1161855126,21959
20037997,21903
863953578,22531
1196360109,22634
1191235455,22678
608067014,22756
1046915310,23278
470031424,20587
1294181921,24649
1355100566,23350
2323418,24871
1352212822,24807
1292097789,22674
12167468,25056
958608633,24986
1255584815,22454
430314,25169
17980836,25189
1538224269,25192
993204974,25216
947043960,25273
1416390951,26350
1167105320,26581
22007779,25662
313424332,26558
1167105323,27060
1130167099,26751
1221887023,25686
1087150723,23333
1273033076,25121
1209816482,26909
1681030680,28141
1681036442,28148
1046915122,27518
1352142797,19287
1433884664,27984
1406073269,28197
12030030,28252
211159,28079
1046914033,19186
1466861535,28356
622653394,19447
1274784408,27912
1053470645,28284
5233969182,28715
1331960368,24826
1653023635,28798
3559158732,28802
67347444,16217
1274767896,28829
1457538057,24828
1115985839,26521
11810425,29248
1053480823,20306
21702432,30105
1538366608,29227
301456007,14894
509982750,23240
1954497623,31629
1264047511,29223
4113851839,31705
1547451878,31715
1377141430,31920
1501789658,31919
1457027240,31956
1742832453,28922
726231478,22655
4113817273,32635
1523579086,32673
1373810517,29509
1544489031,31885
1046916124,32504
1237755841,29088
1219877239,21998
1288022200,33446
1460466111,31942
1482900873,28651
3289010670,33680
1830486866,33788
1150336527,26994
1803088475,33833
1440588702,33895
1519091656,33450
1443670102,33735
13765529,34030
1519092102,29151
1253941394,34145
1443729890,33736
1450853280,29152
1490453251,32681
819350096,34471
3398102571,34460
1866811435,34513
1130653065,32666
1241168692,29023
4224197994,33991
1227921989,32268
1300375604,32464
982844461,33402
1897645272,34885
1787000299,32463
332992690,35188
1362801579,35241
708589050,35276
