Rovi_id,Gb_id
22023391,14749
1020105542,20933
1121828172,32178
881938,13642
480675,13689
17892128,613
469459,66
2334107,68
747218,13620
1822703047,2296
1739620,2445
1790203,159
18830383,166
18830442,165
2444634,1587
1672492,446
18829943,171
431050,173
11947579,1695
917607,1707
506534,1720
1785402,205
2001298,206
412432,208
423675,1737
1833819,314
1103250,307
2001264,311
481387,1738
424456,1747
2329560,493
720561,1760
224883,1772
1104787,1778
446998,1782
2166931,310
2001310,1800
2167248,316
14034105,1881
2484036,201
12966115,1919
2103448,968
1835232,954
16892661,965
1438306,956
1835235,962
13305894,960
1673497,957
18040876,952
99775,1937
19113969,948
306786,1939
674114,994
167973,1948
1167670131,1949
253656,1950
2490563,959
379645,1958
223245,1969
224070,1970
596961,2002
129576,2039
2491249,971
19759378,2072
2230657,2074
321144,2084
1836155,57
1772812,67
19034491,63
16885228,59
13833539,60
2406698,366
2314067,368
13895742,371
13895738,372
997158950,2098
471861,2103
1836145,369
129380,2112
1308634,2117
429900,2139
421657,2146
801296,2165
13892760,61
19234633,2168
11820197,2168
1668240,2168
284739,121
2177941,2220
1438700,2268
426286,2305
2490832,137
2170297,135
18846680,141
1835027,134
1561837,133
18815398,139
2333214,136
2491273,2329
2341335,385
18785636,390
9952498,384
726224840,16879
2231762,2468
17982749,2488
427152,6988
2165623,293
2478513,296
899215,2501
8240941,295
13520723,2529
1134960258,2529
2120790,2553
3424702909,2600
2040884,2621
16888511,2622
18933945,2625
2154617,2626
14729213,2627
1609178,2629
13977514,2630
17495228,2632
2300286,2633
1863968,2634
1483774,2635
19729647,2638
2105279,2639
1987080,2643
1781169,2644
13610633,2658
2295377,2662
16882730,2664
12400185,2779
280906,10984
17616400,504
2195190,2932
2458275,2937
2444536,2948
18881277,2976
1880905,2977
19016957,505
2235925,2982
14031120,498
67120373,2993
19955398,5903
2105382,565
129162,5073
2498864,555
1053597501,21690
408466,1115
14773782,6959
1941630,6961
19958649,7197
2247513,6963
8202313,7399
2337372,6965
2357228,617
12124014,6968
18982134,7391
16883916,5744
344456,7395
1855730,612
464847,6969
2430807,6971
2052128,6973
815073,6979
8257507,6981
14595823,614
1213625,6984
826394,1253
1316567,6985
1288712,4690
2151719,5067
9650028,6079
2482608,7000
18011414,7002
1853033,7003
9155646,5763
2336802,7021
213546,7024
975128413,7025
11782302,7039
1967774,7043
319627,7056
253570,7058
16886597,7076
403310,7081
18175463,7097
811383,7119
9980308,7120
2446617,7129
1406911,7135
17717132,9331
18142219,9090
2173167,8521
2242870,8523
18045939,8528
2488023,9421
1408028,9423
18181222,703
19893665,8605
18001985,803
2402770,9821
16860733,804
2184344,9281
1886884,9291
340684,10017
425163,332
18815354,967
18906934,10293
21718205,149
1332222,146
17119555,10322
9709672,10416
2215255,10422
11982324,10434
1907279,10435
19955807,10468
406170,10500
9715695,10509
11962690,10515
19273426,10576
643601,10587
17016589,10715
563474124,10716
522107,11037
18815807,11193
425185,11358
19955053,11373
862691,11380
19210556,10317
1857896,6977
10522767,7092
21983277,11421
539957838,11620
2450270,11672
67236056,11673
543825332,11690
18867637,12461
66043970,12653
563307357,12764
212927,12791
67204864,12783
9708099,12830
1346390,12850
556694021,12834
21575498,12858
18785960,13423
66330236,12880
13995424,12887
2291925,12897
556694277,12908
21751992,12907
556694220,12905
556694253,12902
1762662,12937
19218168,12982
66856195,12993
556694301,13092
333627154,13133
17132096,13145
2177886,129
1204909,13186
542476032,13306
12595521,13337
2432647,13316
309200564,13381
17654958,13387
18916161,10354
14778569,13424
1285653,13446
14718332,116
1932402,13479
442354,13511
2496641,13541
17118012,13544
2201727,13548
1269054167,13560
1110834,13562
2057172,13563
2392900,13588
425684,10330
2366147,10728
16789113,11156
22275045,13675
425669,13623
66763139,13936
279614,14977
383180761,15044
66492528,14802
365263,15110
2061207,10505
15094222,15211
659162208,15250
67023562,15262
