Show_Type,VU_SM_ID,VU_EP_ID,ROVI_SM_ID,ROVI_EP_ID
SE,132909,10349,1561837,1561842
SE,132909,132915,1561837,1572596
SE,132909,132916,1561837,1571573
SE,132909,132917,1561837,1573705
SE,132909,132918,1561837,1577823
SE,132909,132919,1561837,1585289
SE,132909,132920,1561837,1591134
SE,132909,132921,1561837,1595081
SE,132909,132922,1561837,1598733
SE,132909,132923,1561837,1604376
SE,132909,132924,1561837,1606067
SE,132909,132925,1561837,1609483
SE,132909,132926,1561837,1612494
SE,132909,132927,1561837,1616781
SE,132909,132928,1561837,1629223
SE,132909,132929,1561837,1631923
SE,132909,132930,1561837,1640021
SE,132909,132931,1561837,1642086
SE,132909,132932,1561837,1643860
SE,132909,132933,1561837,1648075
SE,132909,132934,1561837,1652468
SE,132909,132935,1561837,1656969
SE,132909,132936,1561837,1695837
SE,132909,132937,1561837,1697406
SE,132909,132938,1561837,1697403
SE,132909,132939,1561837,1705212
SE,132909,132940,1561837,1711423
SE,132909,132941,1561837,1716651
SE,132909,132942,1561837,1725120
SE,132909,132943,1561837,1728552
SE,132909,132944,1561837,1733661
SE,132909,132945,1561837,1742624
SE,132909,132946,1561837,18073378
SE,132909,132947,1561837,1747041
SE,132909,132948,1561837,1761311
SE,132909,132949,1561837,1780009
SE,132909,132950,1561837,1780025
SE,132909,132951,1561837,1780048
SE,132909,132952,1561837,1811920
SE,132909,132953,1561837,1815771
SE,132909,132954,1561837,1798908
SE,132909,132955,1561837,1820228
SE,132909,132956,1561837,1823904
SE,132909,132957,1561837,1813288
SE,132909,132980,1561837,2041514
SE,132909,132981,1561837,2053447
SE,132909,132982,1561837,2056962
SE,132909,132983,1561837,2057252
SE,132909,132984,1561837,2065699
SE,132909,132985,1561837,2065697
SE,132909,132986,1561837,2080743
SE,132909,132987,1561837,2082973
SE,132909,132988,1561837,2083775
SE,132909,132989,1561837,2104973
SE,132909,132990,1561837,2108703
SE,132909,132991,1561837,2110383
SE,132909,132992,1561837,2114237
SE,132909,132993,1561837,2120254
SE,132909,132994,1561837,2120252
SE,132909,132995,1561837,2140186
SE,132909,132996,1561837,2147890
SE,132909,132997,1561837,2147893
SE,132909,132998,1561837,2147894
SE,132909,132999,1561837,2171952
SE,132909,133000,1561837,2056949
SE,132909,133001,1561837,2263675
SE,132909,133002,1561837,2270399
SE,132909,133003,1561837,2269331
SE,132909,133004,1561837,2272214
SE,132909,133005,1561837,2274250
SE,132909,133006,1561837,2276687
SE,132909,133007,1561837,2276693
SE,132909,133008,1561837,2276698
SE,132909,133009,1561837,2287819
SE,132909,133010,1561837,2291442
SE,132909,133011,1561837,2294487
SE,132909,133012,1561837,2302954
SE,132909,133013,1561837,2310013
SE,132909,133014,1561837,2312766
SE,132909,133656,1561837,2316091
SE,132909,134019,1561837,2319051
SE,132909,134409,1561837,2321794
SE,132909,134410,1561837,2324513
SE,132909,135585,1561837,1829693
SE,132909,183812,1561837,16716196
SE,132909,183816,1561837,16860740
SE,132909,183820,1561837,16924906
SE,132909,183824,1561837,17069117
SE,132909,183828,1561837,17168968
SE,132909,183832,1561837,17404631
SE,132909,183836,1561837,17598662
SE,132909,183840,1561837,17618604
SE,132909,183844,1561837,17641736
SE,132909,184691,1561837,17708432
SE,132909,184695,1561837,17857038
SE,132909,184699,1561837,18064903
SE,132909,184703,1561837,18083683
SE,132909,186273,1561837,8587724
SE,132909,186275,1561837,8676595
SE,132909,186277,1561837,8740332
SE,132909,186279,1561837,8961124
SE,132909,186281,1561837,9021694
SE,132909,186283,1561837,9137217
SE,132909,186285,1561837,9199904
SE,132909,186287,1561837,9291251
SE,132909,186289,1561837,9339183
SE,132909,186291,1561837,9339184
SE,132909,186293,1561837,9598466
SE,132909,186295,1561837,9666871
SE,132909,186299,1561837,10181707
SE,132909,186303,1561837,10304459
SE,132909,186307,1561837,10394702
SE,132909,186311,1561837,10468689
SE,132909,186315,1561837,10560393
SE,132909,186319,1561837,10615378
SE,132909,186323,1561837,13192599
SE,132909,186327,1561837,13355501
SE,132909,186331,1561837,13530487
SE,132909,186335,1561837,13563279
SE,132909,186365,1561837,2360405
SE,132909,186367,1561837,2365414
SE,132909,186371,1561837,11847914
SE,132909,186373,1561837,2374033
SE,132909,186375,1561837,2376478
SE,132909,186377,1561837,2387216
SE,132909,186379,1561837,2390522
SE,132909,186381,1561837,2393468
SE,132909,186383,1561837,2395406
SE,132909,186385,1561837,2395419
SE,132909,186387,1561837,2395432
SE,132909,186389,1561837,2406352
SE,132909,186391,1561837,2423831
SE,132909,186393,1561837,2425339
SE,132909,186395,1561837,2428286
SE,132909,186397,1561837,2436150
SE,132909,186399,1561837,2454643
SE,132909,186401,1561837,2457017
SE,132909,186403,1561837,2460322
SE,132909,186405,1561837,2471087
SE,132909,186407,1561837,2472147
SE,132909,186409,1561837,2476657
SE,132909,186411,1561837,2480202
SE,132909,186413,1561837,2482642
SE,132909,186415,1561837,1886812
SE,132909,186419,1561837,1888707
SE,132909,186423,1561837,1896055
SE,132909,186427,1561837,1870986
SE,132909,186431,1561837,1902262
SE,132909,186435,1561837,1902251
SE,132909,186439,1561837,1909121
SE,132909,186443,1561837,1909156
SE,132909,186447,1561837,1917105
SE,132909,186451,1561837,1935631
SE,132909,186455,1561837,1937856
SE,132909,186459,1561837,1941334
SE,132909,186463,1561837,1944176
SE,132909,186467,1561837,1944182
SE,132909,186471,1561837,1950406
SE,132909,186475,1561837,1959176
SE,132909,186479,1561837,1968716
SE,132909,186483,1561837,1972614
SE,132909,186487,1561837,1975078
SE,132909,186491,1561837,1981001
SE,132909,186495,1561837,1981342
SE,132909,186499,1561837,1984490
SE,132909,191890,1561837,18106637
SE,132909,191895,1561837,18137860
SE,132909,191959,1561837,18166811
SE,132909,191963,1561837,18190365
SE,132909,191967,1561837,18898688
SE,132909,191971,1561837,18930667
SE,132909,191978,1561837,18985111
SE,132909,191982,1561837,19015078
SE,132909,191986,1561837,19041408
SE,132909,290216,1561837,21857080
SE,132909,290220,1561837,22261646
SE,132909,290224,1561837,22279246
SE,132909,290228,1561837,22305860
SE,132909,290232,1561837,22338608
SE,132909,290236,1561837,22377767
SE,132909,290240,1561837,22418096
SE,132909,290244,1561837,22439929
SE,132909,290248,1561837,22439930
SE,132909,290252,1561837,22439931
SE,132909,290256,1561837,22439932
SE,132909,290260,1561837,22582441
SE,132909,290264,1561837,66092483
SE,135247,10350,1549972,1549980
SE,135247,135272,1549972,1556899
SE,135247,135273,1549972,1556900
SE,135247,135274,1549972,1562123
SE,135247,135275,1549972,1562429
SE,135247,135276,1549972,1562430
SE,135247,135277,1549972,1568513
